Action,Time (UTC),ISIN,Ticker,Name,Notes,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Currency conversion fee,Currency (Currency conversion fee),Merchant name,Merchant category
Interest on cash,2026-07-01 01:05:30+00:00,,,,Monthly demo cash interest,DEMO-INTEREST-0001,,,,,,,0.04,EUR,,,,,,
Limit buy,2026-07-02 13:15:00+00:00,US67066G1040,NVDA,NVIDIA,,DEMO-BUY-NVDA-0001,2.0000000000,180.0000000000,USD,1.08000000,,,333.33,EUR,,,0.50,EUR,,
Dividend (Dividend),2026-07-03 12:30:00+00:00,US67066G1040,NVDA,NVIDIA,,DEMO-DIV-NVDA-0001,2.0000000000,0.120000,USD,1.08000000,,,0.22,EUR,0.04,USD,,,,
Limit sell,2026-07-04 14:45:00+00:00,US67066G1040,NVDA,NVIDIA,,DEMO-SELL-NVDA-0001,1.0000000000,205.0000000000,USD,1.08000000,23.15,EUR,189.81,EUR,,,0.25,EUR,,
Limit buy,2026-07-07 10:05:00+00:00,US0378331005,AAPL,Apple,,DEMO-BUY-AAPL-0001,3.0000000000,185.0000000000,USD,1.09000000,,,509.17,EUR,,,0.60,EUR,,
Limit sell,2026-07-08 15:20:00+00:00,US0378331005,AAPL,Apple,,DEMO-SELL-AAPL-0001,1.0000000000,195.0000000000,USD,1.09000000,9.17,EUR,178.90,EUR,,,0.20,EUR,,
Limit buy,2026-07-10 09:40:00+00:00,US88160R1014,TSLA,Tesla,,DEMO-BUY-TSLA-0001,2.0000000000,250.0000000000,USD,1.10000000,,,454.55,EUR,,,0.55,EUR,,
Stop sell,2026-07-11 16:10:00+00:00,US88160R1014,TSLA,Tesla,Demo stop order execution,DEMO-STOP-TSLA-0001,1.0000000000,270.0000000000,USD,1.10000000,18.18,EUR,245.45,EUR,,,0.25,EUR,,
Limit buy,2026-07-14 11:30:00+00:00,US5949181045,MSFT,Microsoft,,DEMO-BUY-MSFT-0001,1.5000000000,410.0000000000,USD,1.12000000,,,549.11,EUR,,,0.70,EUR,,
Dividend (Dividend),2026-07-15 12:30:00+00:00,US0378331005,AAPL,Apple,,DEMO-DIV-AAPL-0001,2.0000000000,0.250000,USD,1.09000000,,,0.46,EUR,0.08,USD,,,,
Result adjustment,2026-07-18 14:14:07+00:00,,,,Demo rights issue cash adjustment,DEMO-ADJUST-0001,,,,,,,0.12,EUR,,,,,,
Card debit,2026-07-20 10:12:35+00:00,,,,,DEMO-CARD-0001,,,,,,,-18.50,EUR,,,,,Demo Coffee Shop,RESTAURANTS
